Source / Medium,Year,Month of the year,Users,New Users,Sessions,Bounce Rate,Pageviews,Conversion Rate (%),Transactions,Revenue,Quantity Sold,Avg. Session Duration (Seconds)
A,2019,11,126870,104020,194667,71.59,455159,0.2,394,83244,482,71.0
A,2020,5,120625,98574,194114,64.56,559509,0.69,1347,203552,2402,92.0
A,2019,10,123361,104308,181175,41.91,368907,0.26,477,94282,599,65.0
A,2019,9,106551,88428,170329,75.92,368803,0.18,311,54971,415,61.0
A,2020,6,102123,82461,163446,67.1,425410,0.7,1138,167113,1987,80.0
A,2019,12,91043,70326,142637,67.06,370798,0.34,486,103001,607,80.0
A,2020,1,83031,64103,133736,69.46,373356,0.45,601,128552,777,83.0
A,2020,7,84343,73239,125423,71.16,292263,0.58,730,98161,1360,72.0
A,2020,2,82626,68145,125318,70.06,328822,0.52,657,126137,981,84.0
A,2020,3,73844,61557,110546,72.19,266187,0.48,531,96195,843,75.0
B,2019,12,88579,75361,106966,56.2,333480,0.21,225,47724,317,115.0
A,2020,4,73349,62794,104146,67.12,288195,0.6,622,95367,1150,85.0
C,2020,5,68869,55769,99838,50.98,325311,0.47,471,58744,819,98.0
B,2020,1,82671,72520,99500,60.96,299723,0.25,253,55954,377,108.0
B,2019,11,79783,65883,98400,55.17,342257,0.22,218,57597,343,133.0
D,2020,5,82246,81585,90447,86.13,111745,0.0,0,0,0,26.0
B,2020,2,69129,58861,82905,61.34,238736,0.35,294,63161,500,111.0
B,2019,10,65953,55972,80301,36.72,263957,0.33,268,60862,419,134.0
C,2020,4,50516,43034,74190,50.75,247484,0.38,279,31663,489,95.0
B,2020,5,55342,48064,66180,58.3,213302,0.52,341,54626,742,127.0
E,2019,10,33658,4533,62972,34.04,164136,0.25,156,30842,261,106.0
B,2020,6,50645,44609,60789,60.44,181511,0.53,322,47867,678,118.0
B,2020,3,48288,41139,58580,61.19,174115,0.31,183,32795,325,120.0
A,2020,8,42747,35935,56931,64.81,149505,0.48,272,43561,530,89.0
E,2019,11,31370,3721,55292,62.09,143387,0.16,88,18327,144,102.0
C,2020,6,36191,27156,51894,49.67,167903,0.7,364,42734,635,97.0
B,2020,7,43010,38395,50567,62.29,140013,0.38,190,27580,341,114.0
B,2020,8,42815,38735,50550,63.45,135664,0.4,204,31686,374,108.0
B,2019,9,40697,34012,48854,55.57,178347,0.24,117,24924,228,136.0
F,2020,7,42982,42730,45898,86.25,78133,0.15,67,9358,112,34.0
C,2020,3,25294,20428,40622,53.76,121931,0.51,208,24097,356,88.0
E,2019,12,23435,4284,39880,58.84,103506,0.34,136,27026,165,99.0
E,2019,9,21325,2547,37821,59.75,107063,0.22,85,13776,131,108.0
E,2020,2,20448,3180,37225,61.91,98988,0.49,181,30487,290,107.0
B,2020,4,29989,24981,36920,54.52,139743,0.6,223,35916,442,162.0
C,2020,1,24971,19962,35064,69.74,84740,0.26,91,13946,122,63.0
E,2020,3,17879,3588,33009,59.26,93181,0.56,185,28137,318,111.0
G,2020,5,19478,2467,31066,57.09,89816,0.6,185,26227,319,106.0
E,2020,4,17620,3586,30386,53.27,100807,0.62,188,26814,315,120.0
C,2020,2,18990,14703,28625,61.56,75117,0.45,128,17581,173,80.0
G,2020,6,16773,2491,27754,56.15,80190,0.73,203,27902,316,104.0
H,2019,9,19078,15188,26330,62.39,66331,0.11,28,4005,36,91.0
H,2019,10,19263,15538,26057,39.86,64175,0.07,18,3076,22,90.0
E,2020,1,14803,1386,25031,63.55,66722,0.34,84,15552,116,102.0
